nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19603733,756102,America
Uruguay,3426260,176215,America
Paraguay,6703799,406752,America
Estados Unidos,331893745,9833517,America
Canada,38246108,9984670,America
Mexico,128932753,1964375,America
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,59554023,301340,Europa
Reino Unido,68207114,243610,Europa
Japon,125800000,377975,Asia
China,1412600000,9596961,Asia
India,1393409038,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523621,1904569,Asia
Australia,25766605,7692024,Oceania
Nueva Zelanda,5122600,268838,Oceania
Egipto,109262178,1002450,Africa
Nigeria,213401323,923768,Africa
Sudafrica,59392255,1221037,Africa
Marruecos,37344795,446550,Africa
